Detected kernel version 4.14.105, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
Epoch 0/10000000	Loss:  5.06996	Time elapsed: 100.655s
Removed shared tensor {'blocks.12.attn1.rotary_embed.freqs', 'blocks.5.attn2.rotary_embed.freqs', 'blocks.9.attn1.rotary_embed.freqs', 'blocks.8.attn1.rotary_embed.freqs', 'blocks.23.attn1.rotary_embed.freqs', 'blocks.13.attn1.rotary_embed.freqs', 'blocks.0.attn2.rotary_embed.freqs', 'blocks.11.attn2.rotary_embed.freqs', 'blocks.12.attn2.rotary_embed.freqs', 'blocks.14.attn2.rotary_embed.freqs', 'blocks.23.attn2.rotary_embed.freqs', 'blocks.22.attn2.rotary_embed.freqs', 'blocks.19.attn2.rotary_embed.freqs', 'blocks.2.attn1.rotary_embed.freqs', 'blocks.6.attn2.rotary_embed.freqs', 'blocks.18.attn1.rotary_embed.freqs', 'blocks.13.attn2.rotary_embed.freqs', 'blocks.17.attn1.rotary_embed.freqs', 'blocks.20.attn2.rotary_embed.freqs', 'blocks.19.attn1.rotary_embed.freqs', 'blocks.7.attn1.rotary_embed.freqs', 'blocks.9.attn2.rotary_embed.freqs', 'blocks.5.attn1.rotary_embed.freqs', 'blocks.1.attn1.rotary_embed.freqs', 'blocks.22.attn1.rotary_embed.freqs', 'blocks.3.attn1.rotary_embed.freqs', 'blocks.7.attn2.rotary_embed.freqs', 'blocks.21.attn2.rotary_embed.freqs', 'blocks.0.attn1.rotary_embed.freqs', 'blocks.11.attn1.rotary_embed.freqs', 'blocks.14.attn1.rotary_embed.freqs', 'blocks.21.attn1.rotary_embed.freqs', 'blocks.4.attn1.rotary_embed.freqs', 'blocks.15.attn2.rotary_embed.freqs', 'blocks.10.attn1.rotary_embed.freqs', 'blocks.18.attn2.rotary_embed.freqs', 'blocks.3.attn2.rotary_embed.freqs', 'blocks.16.attn1.rotary_embed.freqs', 'blocks.17.attn2.rotary_embed.freqs', 'blocks.1.attn2.rotary_embed.freqs', 'blocks.4.attn2.rotary_embed.freqs', 'blocks.6.attn1.rotary_embed.freqs', 'blocks.10.attn2.rotary_embed.freqs', 'blocks.16.attn2.rotary_embed.freqs', 'blocks.20.attn1.rotary_embed.freqs', 'blocks.8.attn2.rotary_embed.freqs', 'blocks.2.attn2.rotary_embed.freqs', 'blocks.15.attn1.rotary_embed.freqs'} while saving. This should be OK, but check by verifying that you don't receive any warning while reloading
Epoch 1/10000000	Loss:  3.25641	Time elapsed: 26.117s
Epoch 2/10000000	Loss:  3.24891	Time elapsed: 26.286s
Epoch 3/10000000	Loss:  3.23999	Time elapsed: 26.020s
Epoch 4/10000000	Loss:  3.23327	Time elapsed: 26.294s
Epoch 5/10000000	Loss:  3.24672	Time elapsed: 26.085s
Epoch 6/10000000	Loss:  3.17449	Time elapsed: 26.214s
Epoch 7/10000000	Loss:  3.07829	Time elapsed: 27.214s
Epoch 8/10000000	Loss:  2.98600	Time elapsed: 26.002s
Epoch 9/10000000	Loss:  2.91457	Time elapsed: 26.592s
