Detected kernel version 4.14.105, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
Epoch 0/10000000	Loss: 17.54259	Time elapsed: 87.625s
Removed shared tensor {'blocks.1.attn2.rotary_embed.freqs', 'blocks.0.attn1.rotary_embed.freqs', 'blocks.11.attn1.rotary_embed.freqs', 'blocks.8.attn2.rotary_embed.freqs', 'blocks.6.attn2.rotary_embed.freqs', 'blocks.8.attn1.rotary_embed.freqs', 'blocks.6.attn1.rotary_embed.freqs', 'blocks.13.attn2.rotary_embed.freqs', 'blocks.2.attn1.rotary_embed.freqs', 'blocks.3.attn2.rotary_embed.freqs', 'blocks.14.attn1.rotary_embed.freqs', 'blocks.10.attn1.rotary_embed.freqs', 'blocks.7.attn1.rotary_embed.freqs', 'blocks.13.attn1.rotary_embed.freqs', 'blocks.3.attn1.rotary_embed.freqs', 'blocks.11.attn2.rotary_embed.freqs', 'blocks.9.attn2.rotary_embed.freqs', 'blocks.0.attn2.rotary_embed.freqs', 'blocks.15.attn1.rotary_embed.freqs', 'blocks.7.attn2.rotary_embed.freqs', 'blocks.10.attn2.rotary_embed.freqs', 'blocks.12.attn1.rotary_embed.freqs', 'blocks.5.attn1.rotary_embed.freqs', 'blocks.4.attn2.rotary_embed.freqs', 'blocks.15.attn2.rotary_embed.freqs', 'blocks.9.attn1.rotary_embed.freqs', 'blocks.5.attn2.rotary_embed.freqs', 'blocks.12.attn2.rotary_embed.freqs', 'blocks.4.attn1.rotary_embed.freqs', 'blocks.2.attn2.rotary_embed.freqs', 'blocks.1.attn1.rotary_embed.freqs', 'blocks.14.attn2.rotary_embed.freqs'} while saving. This should be OK, but check by verifying that you don't receive any warning while reloading
Epoch 1/10000000	Loss: 16.95484	Time elapsed: 17.438s
Epoch 2/10000000	Loss: 15.98423	Time elapsed: 17.298s
Epoch 3/10000000	Loss: 14.33148	Time elapsed: 17.264s
Epoch 4/10000000	Loss: 12.91235	Time elapsed: 17.730s
Epoch 5/10000000	Loss: 11.76986	Time elapsed: 17.510s
Epoch 6/10000000	Loss: 10.82666	Time elapsed: 17.456s
Epoch 7/10000000	Loss: 10.18968	Time elapsed: 17.827s
Epoch 8/10000000	Loss:  9.44459	Time elapsed: 17.977s
Epoch 9/10000000	Loss:  8.88800	Time elapsed: 17.711s
Epoch 10/10000000	Loss:  8.49958	Time elapsed: 17.679s
Epoch 11/10000000	Loss:  7.79129	Time elapsed: 17.414s
