Detected kernel version 4.14.105, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
Epoch 0/10000000	Loss: 17.26200	Time elapsed: 92.614s
Removed shared tensor {'blocks.4.attn2.rotary_embed.freqs', 'blocks.0.attn2.rotary_embed.freqs', 'blocks.1.attn2.rotary_embed.freqs', 'blocks.11.attn1.rotary_embed.freqs', 'blocks.16.attn2.rotary_embed.freqs', 'blocks.21.attn1.rotary_embed.freqs', 'blocks.12.attn1.rotary_embed.freqs', 'blocks.16.attn1.rotary_embed.freqs', 'blocks.22.attn1.rotary_embed.freqs', 'blocks.9.attn1.rotary_embed.freqs', 'blocks.4.attn1.rotary_embed.freqs', 'blocks.17.attn2.rotary_embed.freqs', 'blocks.18.attn1.rotary_embed.freqs', 'blocks.1.attn1.rotary_embed.freqs', 'blocks.6.attn2.rotary_embed.freqs', 'blocks.21.attn2.rotary_embed.freqs', 'blocks.7.attn1.rotary_embed.freqs', 'blocks.17.attn1.rotary_embed.freqs', 'blocks.10.attn2.rotary_embed.freqs', 'blocks.15.attn1.rotary_embed.freqs', 'blocks.20.attn1.rotary_embed.freqs', 'blocks.9.attn2.rotary_embed.freqs', 'blocks.20.attn2.rotary_embed.freqs', 'blocks.11.attn2.rotary_embed.freqs', 'blocks.10.attn1.rotary_embed.freqs', 'blocks.15.attn2.rotary_embed.freqs', 'blocks.3.attn1.rotary_embed.freqs', 'blocks.13.attn2.rotary_embed.freqs', 'blocks.7.attn2.rotary_embed.freqs', 'blocks.14.attn1.rotary_embed.freqs', 'blocks.19.attn2.rotary_embed.freqs', 'blocks.13.attn1.rotary_embed.freqs', 'blocks.14.attn2.rotary_embed.freqs', 'blocks.19.attn1.rotary_embed.freqs', 'blocks.23.attn2.rotary_embed.freqs', 'blocks.0.attn1.rotary_embed.freqs', 'blocks.23.attn1.rotary_embed.freqs', 'blocks.22.attn2.rotary_embed.freqs', 'blocks.8.attn2.rotary_embed.freqs', 'blocks.3.attn2.rotary_embed.freqs', 'blocks.6.attn1.rotary_embed.freqs', 'blocks.2.attn1.rotary_embed.freqs', 'blocks.18.attn2.rotary_embed.freqs', 'blocks.8.attn1.rotary_embed.freqs', 'blocks.2.attn2.rotary_embed.freqs', 'blocks.5.attn1.rotary_embed.freqs', 'blocks.12.attn2.rotary_embed.freqs', 'blocks.5.attn2.rotary_embed.freqs'} while saving. This should be OK, but check by verifying that you don't receive any warning while reloading
Epoch 1/10000000	Loss: 15.16031	Time elapsed: 25.580s
Epoch 2/10000000	Loss: 12.43715	Time elapsed: 25.692s
Epoch 3/10000000	Loss: 10.66602	Time elapsed: 25.696s
Epoch 4/10000000	Loss:  9.27514	Time elapsed: 25.604s
Epoch 5/10000000	Loss:  8.11275	Time elapsed: 25.696s
Epoch 6/10000000	Loss:  7.34584	Time elapsed: 25.708s
Epoch 7/10000000	Loss:  6.66243	Time elapsed: 25.592s
Epoch 8/10000000	Loss:  6.03444	Time elapsed: 25.725s
Epoch 9/10000000	Loss:  5.48234	Time elapsed: 25.688s
Epoch 10/10000000	Loss:  4.93797	Time elapsed: 25.599s
Epoch 11/10000000	Loss:  4.54092	Time elapsed: 25.599s
Epoch 12/10000000	Loss:  4.22109	Time elapsed: 25.603s
Epoch 13/10000000	Loss:  3.93892	Time elapsed: 25.584s
Epoch 14/10000000	Loss:  3.68874	Time elapsed: 25.702s
Epoch 15/10000000	Loss:  3.57451	Time elapsed: 25.613s
Epoch 16/10000000	Loss:  3.44219	Time elapsed: 25.687s
Epoch 17/10000000	Loss:  3.34235	Time elapsed: 25.605s
Epoch 18/10000000	Loss:  3.39805	Time elapsed: 25.585s
Epoch 19/10000000	Loss:  3.23157	Time elapsed: 25.604s
Epoch 20/10000000	Loss:  3.13114	Time elapsed: 25.592s
Epoch 21/10000000	Loss:  3.19717	Time elapsed: 25.608s
Epoch 22/10000000	Loss:  3.20265	Time elapsed: 25.698s
Epoch 23/10000000	Loss:  3.11131	Time elapsed: 25.603s
Epoch 24/10000000	Loss:  3.05395	Time elapsed: 25.598s
Epoch 25/10000000	Loss:  2.95586	Time elapsed: 25.601s
Epoch 26/10000000	Loss:  2.96151	Time elapsed: 25.601s
Epoch 27/10000000	Loss:  3.05176	Time elapsed: 25.703s
Epoch 28/10000000	Loss:  2.96605	Time elapsed: 25.687s
Epoch 29/10000000	Loss:  2.96732	Time elapsed: 25.515s
Epoch 30/10000000	Loss:  2.89510	Time elapsed: 25.686s
Epoch 31/10000000	Loss:  2.76431	Time elapsed: 25.512s
Epoch 32/10000000	Loss:  2.92424	Time elapsed: 25.696s
Epoch 33/10000000	Loss:  2.68620	Time elapsed: 25.699s
Epoch 34/10000000	Loss:  2.78979	Time elapsed: 25.699s
Epoch 35/10000000	Loss:  2.77447	Time elapsed: 25.701s
Epoch 36/10000000	Loss:  2.74846	Time elapsed: 25.595s
Epoch 37/10000000	Loss:  2.75030	Time elapsed: 25.692s
Epoch 38/10000000	Loss:  2.56173	Time elapsed: 25.619s
Epoch 39/10000000	Loss:  2.62012	Time elapsed: 25.690s
Epoch 40/10000000	Loss:  2.61539	Time elapsed: 25.604s
Epoch 41/10000000	Loss:  2.66200	Time elapsed: 25.596s
